hour,production,consumption
2025-04-01 00:00,0,0.52
2025-03-31 22:15,0,0.5
2025-03-31 22:30,0,0.48
2025-03-31 22:45,0,0.46
2025-04-01 01:00,0,0.44
2025-03-31 23:15,0,0.43
2025-03-31 23:30,0,0.42
2025-03-31 23:45,0,0.41
2025-04-01 02:00,0,0.4
2025-04-01 00:15,0.0125,0.4025
2025-04-01 00:30,0.025,0.405
2025-04-01 00:45,0.0375,0.4075
2025-04-01 03:00,0.05,0.41
2025-04-01 01:15,0.07,0.4375
2025-04-01 01:30,0.09,0.465
2025-04-01 01:45,0.11,0.4925
2025-04-01 04:00,0.13,0.52
2025-04-01 02:15,0.215,0.5525
2025-04-01 02:30,0.3,0.585
2025-04-01 02:45,0.385,0.6175
2025-04-01 05:00,0.47,0.65
2025-04-01 03:15,0.585,0.7225
2025-04-01 03:30,0.7,0.795
2025-04-01 03:45,0.815,0.8675
2025-04-01 06:00,0.93,0.94
2025-04-01 04:15,1.0075,1.005
2025-04-01 04:30,1.085,1.07
2025-04-01 04:45,1.1625,1.135
2025-04-01 07:00,1.24,1.2
2025-04-01 05:15,1.325,1.255
2025-04-01 05:30,1.41,1.31
2025-04-01 05:45,1.495,1.365
2025-04-01 08:00,1.58,1.42
2025-04-01 06:15,1.6775,1.5225
2025-04-01 06:30,1.775,1.625
2025-04-01 06:45,1.8725,1.7275
2025-04-01 09:00,1.97,1.83
2025-04-01 07:15,2.01,1.83
2025-04-01 07:30,2.05,1.83
2025-04-01 07:45,2.09,1.83
2025-04-01 10:00,2.13,1.83
2025-04-01 08:15,2.22,1.8725
2025-04-01 08:30,2.31,1.915
2025-04-01 08:45,2.4,1.9575
2025-04-01 11:00,2.49,2
2025-04-01 09:15,2.4825,2.0075
2025-04-01 09:30,2.475,2.015
2025-04-01 09:45,2.4675,2.0225
2025-04-01 12:00,2.46,2.03
2025-04-01 10:15,2.4325,2.06
2025-04-01 10:30,2.405,2.09
2025-04-01 10:45,2.3775,2.12
2025-04-01 13:00,2.35,2.15
2025-04-01 11:15,2.35,2.1075
2025-04-01 11:30,2.35,2.065
2025-04-01 11:45,2.35,2.0225
2025-04-01 14:00,2.35,1.98
2025-04-01 12:15,2.21,1.9025
2025-04-01 12:30,2.07,1.825
2025-04-01 12:45,1.93,1.7475
2025-04-01 15:00,1.79,1.67
2025-04-01 13:15,1.76,1.6425
2025-04-01 13:30,1.73,1.615
2025-04-01 13:45,1.7,1.5875
2025-04-01 16:00,1.67,1.56
2025-04-01 14:15,1.62,1.5
2025-04-01 14:30,1.57,1.44
